X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1429183.53862996,593174.350648224,29894,1687,056,USE2016-04875,Y,2016/10/25 15:40:33+00,Oct 25 2016  3,SF,SF,E,13,CARE,1687 056,208 N DUNCAN ST
1429182.65378922,593189.54057847,29895,1687,057,USE2022-51359,Y,2023/02/13 00:00:00+00,Feb 13 2023 12,1-08,1-08,E,13,CARE,1687 057,210 N DUNCAN ST
1429181.85490631,593203.179002643,29896,1687,058,USE2016-04876,Y,2016/10/24 10:07:57+00,Oct 24 2016 10,SF,SF,E,13,CARE,1687 058,212 N DUNCAN ST
1429181.13115448,593215.509358555,29897,1687,059,USE2016-04874,Y,2017/03/09 11:00:41+00,Mar  9 2017 11,SF,SF,E,13,CARE,1687 059,214 N DUNCAN ST
1429180.43889864,593227.334138066,29898,1687,060,USE2016-04187,Y,2016/10/25 15:38:28+00,Oct 25 2016  3,SF,SF,E,13,CARE,1687 060,216 N DUNCAN ST
1429179.74533047,593239.495202973,29899,1687,061,USE2016-04188,Y,2016/10/24 10:02:06+00,Oct 24 2016 10,VAC,SF,E,13,CARE,1687 061,218 N DUNCAN ST
1429249.24256681,593311.353326976,29903,1687,065,USE2016-02321,Y,2016/08/16 00:00:00+00,Aug 16 2016 12,VAC,SF,E,13,CARE,1687 065,229 N DUNCAN ST
1429249.90267047,593298.113195971,29904,1687,066,USE2016-04873,Y,2017/03/07 13:58:23+00,Mar  7 2017  1,SF,SF,E,13,CARE,1687 066,227 N DUNCAN ST
1421734.51153331,598266.044861138,29920,0429,022,USE2019-55279,Y,2020/03/10 00:00:00+00,Mar 10 2020 12,1-08,1-07,E,12,Greenmount West,0429 022,201 E LANVALE ST
1416434.7248888,593997.0957219,29959,0430,030,USE2022-54959,Y,2022/08/16 00:00:00+00,Aug 16 2022 12,1-08,1-08,G,11,Upton,0430 030,846 HARLEM AVE
